entry_idx,entry_dt,dir,entry_price,oracle_pnl,H1_sr_target,H1_sr_found,H1_sr_dist_atr,H1_htf_atr,conv_reason,conv_pnl,conv_bars,H1_reason,H1_pnl,H1_bars,M15_sr_target,M15_sr_found,M15_sr_dist_atr,M15_htf_atr,M15_reason,M15_pnl,M15_bars
72167,2025-11-12 11:22:00,SELL,4128.48,1057.9999999999927,3674.61,True,33.1,13.71277,TimeExit,-84.00000000001455,8,TimeExit,-84.00000000001455,8,3674.61,True,63.52,7.14475,TimeExit,-84.00000000001455,8
72231,2025-11-12 12:26:00,SELL,4121.13,323.0000000000473,3674.61,True,33.28,13.41906,TimeExit,-159.00000000001455,8,TimeExit,-159.00000000001455,8,3674.61,True,66.15,6.75009,TimeExit,-159.00000000001455,8
72295,2025-11-12 13:30:00,SELL,4124.58,184.00000000001455,3674.61,True,35.38,12.71919,TimeExit,-367.0000000000073,8,TimeExit,-367.0000000000073,8,3674.61,True,68.64,6.55594,TimeExit,-367.0000000000073,8
72356,2025-11-12 14:31:00,BUY,4137.37,202.00000000004366,0.0,False,0.0,12.9593,TimeExit,-103.99999999999636,9,TimeExit,-103.99999999999636,9,0.0,False,0.0,6.39461,TimeExit,-103.99999999999636,9
72418,2025-11-12 15:33:00,BUY,4130.3,4634.999999999945,0.0,False,0.0,12.53806,TimeExit,-123.99999999997817,8,TimeExit,-123.99999999997817,8,0.0,False,0.0,6.77494,TimeExit,-123.99999999997817,8
72479,2025-11-12 16:34:00,SELL,4127.34,46.00000000000364,3674.61,True,35.21,12.85698,EMACross,-825.0,5,EMACross(FB),-825.0,5,3674.61,True,56.88,7.95891,EMACross(FB),-825.0,5
72540,2025-11-12 17:35:00,BUY,4179.37,2315.9999999999854,0.0,False,0.0,17.92005,TimeExit,-93.0000000000291,8,TimeExit,-93.0000000000291,8,0.0,False,0.0,11.48931,TimeExit,-93.0000000000291,8
72601,2025-11-12 18:36:00,BUY,4193.04,1875.0,0.0,False,0.0,17.87471,TimeExit,-38.000000000010914,9,TimeExit,-38.000000000010914,9,0.0,False,0.0,10.38659,TimeExit,-38.000000000010914,9
72662,2025-11-12 19:37:00,BUY,4202.23,956.00000000004,0.0,False,0.0,17.39142,TimeExit,-14.99999999996362,8,TimeExit,-14.99999999996362,8,0.0,False,0.0,9.73819,TimeExit,-14.99999999996362,8
72723,2025-11-12 20:38:00,BUY,4208.54,194.9999999999818,0.0,False,0.0,17.93389,TimeExit,-34.00000000001455,10,TimeExit,-34.00000000001455,10,0.0,False,0.0,9.29974,TimeExit,-34.00000000001455,10
72792,2025-11-12 21:47:00,BUY,4198.7,339.00000000003274,0.0,False,0.0,17.94938,TimeExit,-106.9999999999709,8,TimeExit,-106.9999999999709,8,0.0,False,0.0,8.41757,TimeExit,-106.9999999999709,8
72864,2025-11-12 22:59:00,BUY,4195.98,1190.0000000000546,0.0,False,0.0,16.75879,EMACross,-58.9999999999236,7,EMACross(NoSR),-58.9999999999236,7,0.0,False,0.0,7.40021,EMACross(NoSR),-58.9999999999236,7
72927,2025-11-13 01:03:00,BUY,4203.23,601.0000000000218,0.0,False,0.0,16.65456,TimeExit,-106.9999999999709,8,TimeExit,-106.9999999999709,8,0.0,False,0.0,7.44618,TimeExit,-106.9999999999709,8
72992,2025-11-13 02:08:00,SELL,4187.55,768.0000000000291,3674.61,True,29.39,17.45395,TimeExit,-55.99999999994907,8,TimeExit,-55.99999999994907,8,3674.61,True,74.27,6.90654,TimeExit,-55.99999999994907,8
73053,2025-11-13 03:09:00,SELL,4195.49,1561.999999999989,3674.61,True,27.35,19.04276,EMACross,688.9999999999418,45,EMACross(FB),688.9999999999418,45,3674.61,True,54.5,9.55698,EMACross(FB),688.9999999999418,45
73114,2025-11-13 04:10:00,BUY,4193.5,2593.000000000029,0.0,False,0.0,18.16639,TimeExit,-117.00000000000728,8,TimeExit,-117.00000000000728,8,0.0,False,0.0,9.81815,TimeExit,-117.00000000000728,8
73175,2025-11-13 05:11:00,BUY,4203.24,1619.000000000051,0.0,False,0.0,18.7762,TimeExit,-51.00000000002183,8,TimeExit,-51.00000000002183,8,0.0,False,0.0,10.29272,TimeExit,-51.00000000002183,8
73236,2025-11-13 06:12:00,BUY,4216.22,184.99999999994543,0.0,False,0.0,18.40738,TimeExit,-402.00000000004366,8,TimeExit,-402.00000000004366,8,0.0,False,0.0,9.50264,TimeExit,-402.00000000004366,8
73297,2025-11-13 07:13:00,BUY,4214.88,290.99999999998545,0.0,False,0.0,17.33306,TimeExit,-181.00000000004002,11,TimeExit,-181.00000000004002,11,0.0,False,0.0,8.93144,TimeExit,-181.00000000004002,11
73358,2025-11-13 08:14:00,SELL,4205.94,271.00000000000364,3674.61,True,32.81,16.19399,TimeExit,-120.00000000007276,8,TimeExit,-120.00000000007276,8,3674.61,True,64.97,8.17857,TimeExit,-120.00000000007276,8
73429,2025-11-13 09:25:00,BUY,4216.83,2264.0000000000327,0.0,False,0.0,15.60412,TimeExit,-84.00000000001455,8,TimeExit,-84.00000000001455,8,0.0,False,0.0,7.2235,TimeExit,-84.00000000001455,8
73490,2025-11-13 10:26:00,BUY,4236.45,368.0000000000291,0.0,False,0.0,16.22757,TimeExit,-73.99999999997817,11,TimeExit,-73.99999999997817,11,0.0,False,0.0,7.94745,TimeExit,-73.99999999997817,11
73554,2025-11-13 11:30:00,SELL,4228.45,932.9999999999927,3674.61,True,34.63,15.9919,TimeExit,-294.00000000005093,8,TimeExit,-294.00000000005093,8,3674.61,True,67.37,8.22106,TimeExit,-294.00000000005093,8
73618,2025-11-13 12:34:00,SELL,4233.42,1430.0000000000182,3674.61,True,34.19,16.34364,TimeExit,-55.00000000001819,9,TimeExit,-55.00000000001819,9,3674.61,True,72.02,7.75944,TimeExit,-55.00000000001819,9
73679,2025-11-13 13:35:00,SELL,4226.37,602.9999999999745,3674.61,True,34.65,15.92582,EMACross,1.0000000000218279,5,EMACross(FB),1.0000000000218279,5,3674.61,True,61.78,8.93109,EMACross(FB),1.0000000000218279,5
73742,2025-11-13 14:38:00,BUY,4237.07,809.0000000000146,0.0,False,0.0,15.82238,TimeExit,-55.99999999994907,12,TimeExit,-55.99999999994907,12,0.0,False,0.0,7.37348,TimeExit,-55.99999999994907,12
73803,2025-11-13 15:39:00,SELL,4224.09,3971.0000000000036,3674.61,True,32.6,16.8554,TimeExit,-350.0,8,TimeExit,-350.0,8,3674.61,True,55.13,9.96701,TimeExit,-350.0,8
73865,2025-11-13 16:41:00,SELL,4205.28,2089.9999999999636,3674.61,True,25.27,20.99868,EMACross,246.99999999993452,28,EMACross(FB),246.99999999993452,28,3674.61,True,36.52,14.53102,EMACross(FB),246.99999999993452,28
73939,2025-11-13 17:55:00,BUY,4195.83,1502.9999999999745,0.0,False,0.0,20.66019,EMACross,438.0000000000109,44,EMACross(NoSR),438.0000000000109,44,0.0,False,0.0,14.62051,EMACross(NoSR),438.0000000000109,44
74000,2025-11-13 18:56:00,SELL,4204.71,5942.000000000007,3674.61,True,26.58,19.94416,EMACross,-76.9999999999527,2,EMACross(FB),-76.9999999999527,2,3674.61,True,42.12,12.58559,EMACross(FB),-76.9999999999527,2
74071,2025-11-13 20:07:00,BUY,4202.2,102.00000000004366,0.0,False,0.0,24.44473,TimeExit,-102.99999999997453,8,TimeExit,-102.99999999997453,8,0.0,False,0.0,10.43656,TimeExit,-102.99999999997453,8
74138,2025-11-13 21:14:00,SELL,4154.02,331.00000000004,3674.61,True,19.58,24.48143,TimeExit,-169.9999999999818,8,TimeExit,-169.9999999999818,8,3674.61,True,32.51,14.74772,TimeExit,-169.9999999999818,8
74212,2025-11-13 22:28:00,BUY,4168.25,1632.9999999999927,0.0,False,0.0,22.59057,TimeExit,-152.99999999997453,8,TimeExit,-152.99999999997453,8,0.0,False,0.0,11.88961,TimeExit,-152.99999999997453,8
74273,2025-11-13 23:29:00,BUY,4174.06,1580.999999999949,0.0,False,0.0,22.27716,StructBreak,-147.00000000002547,6,StructBreak,-147.00000000002547,6,0.0,False,0.0,11.04469,StructBreak,-147.00000000002547,6
74339,2025-11-14 01:36:00,BUY,4178.8,1106.999999999971,0.0,False,0.0,21.52287,EMACross,734.9999999999454,71,EMACross(NoSR),734.9999999999454,71,0.0,False,0.0,8.98325,EMACross(NoSR),734.9999999999454,71
74400,2025-11-14 02:37:00,BUY,4187.73,1679.0000000000873,0.0,False,0.0,20.21982,TimeExit,-128.99999999999636,8,TimeExit,-128.99999999999636,8,0.0,False,0.0,7.9121,TimeExit,-128.99999999999636,8
74461,2025-11-14 03:38:00,SELL,4181.51,263.0000000000109,3674.61,True,25.06,20.22385,EMACross,9.000000000014552,7,EMACross(FB),9.000000000014552,7,3674.61,True,55.79,9.08599,EMACross(FB),9.000000000014552,7
74522,2025-11-14 04:39:00,BUY,4201.77,950.0,0.0,False,0.0,20.446,EMACross,618.99999999996,64,EMACross(NoSR),618.99999999996,64,0.0,False,0.0,8.85685,EMACross(NoSR),618.99999999996,64
74589,2025-11-14 05:46:00,SELL,4205.16,2122.9999999999563,3674.61,True,27.87,19.03987,TimeExit,-3.999999999996362,11,TimeExit,-3.999999999996362,11,3674.61,True,72.29,7.3393,TimeExit,-3.999999999996362,11
74650,2025-11-14 06:47:00,BUY,4200.84,273.9999999999782,0.0,False,0.0,17.64655,TimeExit,-90.99999999998545,14,TimeExit,-90.99999999998545,14,0.0,False,0.0,6.52967,TimeExit,-90.99999999998545,14
74711,2025-11-14 07:48:00,BUY,4191.56,358.9999999999236,0.0,False,0.0,17.91368,TimeExit,-256.00000000004,8,TimeExit,-256.00000000004,8,0.0,False,0.0,7.80919,TimeExit,-256.00000000004,8
74775,2025-11-14 08:52:00,SELL,4171.11,1233.9999999999236,3674.61,True,26.57,18.68652,TimeExit,-574.0000000000691,8,TimeExit,-574.0000000000691,8,3674.61,True,55.04,9.02007,TimeExit,-574.0000000000691,8
74836,2025-11-14 09:53:00,BUY,4180.37,664.0000000000327,0.0,False,0.0,19.34432,TimeExit,-157.99999999999272,9,TimeExit,-157.99999999999272,9,0.0,False,0.0,9.878,TimeExit,-157.99999999999272,9
74898,2025-11-14 10:55:00,SELL,4173.67,1428.9999999999964,3674.61,True,26.25,19.01441,TimeExit,-68.99999999995998,12,TimeExit,-68.99999999995998,12,3674.61,True,47.54,10.49754,TimeExit,-68.99999999995998,12
74959,2025-11-14 11:56:00,BUY,4171.1,0.0,0.0,False,0.0,18.34449,EMACross,-169.00000000005093,3,EMACross(NoSR),-169.00000000005093,3,0.0,False,0.0,8.84723,EMACross(NoSR),-169.00000000005093,3
75020,2025-11-14 12:57:00,BUY,4169.41,61.999999999989086,0.0,False,0.0,17.45722,TimeExit,-151.9999999999527,8,TimeExit,-151.9999999999527,8,0.0,False,0.0,8.21906,TimeExit,-151.9999999999527,8
75081,2025-11-14 13:58:00,SELL,4133.99,9275.999999999976,3674.61,True,22.57,20.35626,TimeExit,-448.0000000000473,8,TimeExit,-448.0000000000473,8,3674.61,True,39.98,11.48965,TimeExit,-448.0000000000473,8
75150,2025-11-14 15:07:00,SELL,4109.18,7711.000000000013,3674.61,True,14.74,29.47452,EMACross,4964.000000000033,75,EMACross(FB),4964.000000000033,75,3674.61,True,28.36,15.32179,EMACross(FB),4964.000000000033,75
75226,2025-11-14 16:23:00,BUY,4058.35,4470.000000000027,0.0,False,0.0,32.46859,TimeExit,-665.9999999999854,8,TimeExit,-665.9999999999854,8,0.0,False,0.0,17.50916,TimeExit,-665.9999999999854,8
75311,2025-11-14 17:48:00,BUY,4091.48,1966.9999999999618,0.0,False,0.0,31.83811,TimeExit,-671.99999999998,8,TimeExit,-671.99999999998,8,0.0,False,0.0,18.40202,TimeExit,-671.99999999998,8
75372,2025-11-14 18:49:00,BUY,4106.63,397.00000000002547,0.0,False,0.0,31.60236,TimeExit,-223.0000000000473,8,TimeExit,-223.0000000000473,8,0.0,False,0.0,16.35196,TimeExit,-223.0000000000473,8
75440,2025-11-14 19:57:00,SELL,4100.03,1920.9999999999582,3674.61,True,14.38,29.58338,EMACross,375.9999999999309,36,EMACross(FB),375.9999999999309,36,3674.61,True,30.32,14.03233,EMACross(FB),375.9999999999309,36
75511,2025-11-14 21:08:00,SELL,4090.33,1480.9999999999945,3674.61,True,15.68,26.51223,TimeExit,-420.0000000000273,8,TimeExit,-420.0000000000273,8,3674.61,True,32.74,12.6958,TimeExit,-420.0000000000273,8
75572,2025-11-14 22:09:00,SELL,4087.51,1453.00000000002,3674.61,True,16.37,25.2266,TimeExit,-153.99999999999636,26,TimeExit,-153.99999999999636,26,3674.61,True,40.36,10.23063,TimeExit,-153.99999999999636,26
75633,2025-11-14 23:10:00,SELL,4080.34,736.0000000000127,3674.61,True,17.58,23.08172,TimeExit,-321.00000000000364,8,TimeExit,-321.00000000000364,8,3674.61,True,41.24,9.83847,TimeExit,-321.00000000000364,8
75694,2025-11-17 01:13:00,BUY,4099.67,696.0000000000036,0.0,False,0.0,24.49082,TimeExit,-23.000000000047294,18,TimeExit,-23.000000000047294,18,0.0,False,0.0,11.74413,TimeExit,-23.000000000047294,18
75755,2025-11-17 02:14:00,SELL,4084.93,436.9999999999891,3674.61,True,17.42,23.56005,TimeExit,-191.00000000003092,8,TimeExit,-191.00000000003092,8,3674.61,True,36.4,11.27264,TimeExit,-191.00000000003092,8
