entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
93030,2026-02-03 19:00:00,SELL,76456.0,76883.3,960.47026,0.0,False,0.0,3366.199999999997,120,93162,EMACross,1974.699999999997,132,58.66258689323269,93162,EMACross(NoSR),1974.699999999997,132,58.66258689323269,93246.0,TimeExit,-70.10000000000582,216.0,-2.0824668765969307
93091,2026-02-03 20:01:00,SELL,75052.2,75409.3,1120.36756,0.0,False,0.0,2109.199999999997,61,93162,EMACross,570.8999999999942,71,27.067134458562247,93162,EMACross(NoSR),570.8999999999942,71,27.067134458562247,93170.0,TimeExit,-37.0,79.0,-1.7542196093305544
93152,2026-02-03 21:02:00,SELL,73038.9,74163.6,1276.91855,0.0,False,0.0,31.89999999999418,1,93158,TimeExit,-473.6000000000058,6,-1484.639498432891,93158,TimeExit,-473.6000000000058,6,-1484.639498432891,93162.0,StructBreak,-1442.4000000000087,10.0,-4521.63009404474
93215,2026-02-03 22:05:00,SELL,74659.0,75074.4,1390.92941,0.0,False,0.0,87.10000000000582,10,93221,TimeExit,-24.60000000000582,6,-28.24339839265692,93221,TimeExit,-24.60000000000582,6,-28.24339839265692,93228.0,StructBreak,-489.5,13.0,-561.997703788711
93276,2026-02-03 23:06:00,BUY,76765.6,76185.9,1316.49882,83810.8,True,5.35,182.0,3,93283,TimeExit,-48.10000000000582,7,-26.428571428574628,93283,TimeExit,-48.10000000000582,7,-26.428571428574628,93306.0,TimeExit,-326.8000000000029,30.0,-179.56043956044115
93337,2026-02-04 00:07:00,SELL,75933.7,76347.4,1259.67231,0.0,False,0.0,533.3000000000029,43,93350,TimeExit,-53.80000000000291,13,-10.088130508157251,93350,TimeExit,-53.80000000000291,13,-10.088130508157251,93367.0,TimeExit,-46.19999999999709,30.0,-8.663041440089412
93398,2026-02-04 01:08:00,SELL,75476.1,75767.2,1168.71601,0.0,False,0.0,25.30000000000291,66,93404,TimeExit,-286.09999999999127,6,-1130.8300395255271,93404,TimeExit,-286.09999999999127,6,-1130.8300395255271,93405.0,StructBreak,-370.6999999999971,7.0,-1465.2173913041677
93463,2026-02-04 02:13:00,SELL,75540.9,75796.4,1119.99387,0.0,False,0.0,90.09999999999127,1,93469,TimeExit,-234.3000000000029,6,-260.0443951165656,93469,TimeExit,-234.3000000000029,6,-260.0443951165656,93470.0,StructBreak,-283.6000000000058,7.0,-314.7613762486496
93524,2026-02-04 03:14:00,BUY,76516.7,75871.6,1088.15469,83810.8,True,6.7,263.8000000000029,21,93530,TimeExit,-42.69999999999709,6,-16.186504927974458,93530,TimeExit,-42.69999999999709,6,-16.186504927974458,93555.0,TimeExit,-8.69999999999709,31.0,-3.2979529946918094
93598,2026-02-04 04:28:00,SELL,76194.2,76602.7,1062.81406,0.0,False,0.0,489.59999999999127,13,93635,EMACross,59.09999999999127,37,12.071078431370982,93635,EMACross(NoSR),59.09999999999127,37,12.071078431370982,93637.0,TimeExit,-54.30000000000291,39.0,-11.090686274510595
93659,2026-02-04 05:29:00,BUY,76386.5,76259.3,1063.54552,83810.8,True,6.98,583.6000000000058,12,93708,EMACross,258.0,49,44.208361891706204,93708,EMACross(FB),258.0,49,44.208361891706204,93769.0,TimeExit,-4.100000000005821,110.0,-0.7025359835513673
93720,2026-02-04 06:30:00,SELL,76652.4,76794.6,975.99279,0.0,False,0.0,546.0999999999913,84,93726,TimeExit,-32.10000000000582,6,-5.8780443142293235,93726,TimeExit,-32.10000000000582,6,-5.8780443142293235,93846.0,TimeExit,-2.6000000000058208,126.0,-0.47610327778902445
93784,2026-02-04 07:34:00,SELL,76404.1,76525.9,901.80708,0.0,False,0.0,297.8000000000029,20,93814,TimeExit,-18.59999999999127,30,-6.245802552045362,93814,TimeExit,-18.59999999999127,30,-6.245802552045362,93814.0,TimeExit,-18.59999999999127,30.0,-6.245802552045362
93848,2026-02-04 08:38:00,BUY,76727.9,76402.2,851.5128,83810.8,True,8.32,56.60000000000582,8,93854,TimeExit,-15.299999999988358,6,-27.03180212011799,93854,TimeExit,-15.299999999988358,6,-27.03180212011799,93876.0,StructBreak,-348.3999999999942,28.0,-615.5477031801385
93909,2026-02-04 09:39:00,SELL,76531.4,76578.6,780.37776,0.0,False,0.0,577.5,119,93910,StructBreak,-65.20000000001164,1,-11.290043290045306,93910,StructBreak,-65.20000000001164,1,-11.290043290045306,93910.0,StructBreak,-65.20000000001164,1.0,-11.290043290045306
93970,2026-02-04 10:40:00,SELL,76328.7,76462.9,746.46073,0.0,False,0.0,374.8000000000029,58,93973,EMACross,6.399999999994179,3,1.7075773745982201,93973,EMACross(NoSR),6.399999999994179,3,1.7075773745982201,93976.0,StructBreak,-137.90000000000873,6.0,-36.79295624333182
94031,2026-02-04 11:41:00,SELL,76142.4,76276.2,733.30596,0.0,False,0.0,480.04999999998836,98,94038,TimeExit,-22.10000000000582,7,-4.603687115926749,94038,TimeExit,-22.10000000000582,7,-4.603687115926749,94064.0,TimeExit,0.0,33.0,0.0
94092,2026-02-04 12:42:00,BUY,76295.8,76088.9,672.4385,83810.8,True,11.18,30.0,13,94098,TimeExit,-62.40000000000873,6,-208.0000000000291,94098,TimeExit,-62.40000000000873,6,-208.0000000000291,94113.0,StructBreak,-240.6999999999971,21.0,-802.3333333333236
94153,2026-02-04 13:43:00,BUY,75993.0,75832.8,666.3867,83810.8,True,11.73,277.1000000000058,52,94198,EMACross,79.5,45,28.690003608804883,94198,EMACross(FB),79.5,45,28.690003608804883,94248.0,TimeExit,-31.19999999999709,95.0,-11.259473114397847
94218,2026-02-04 14:48:00,BUY,76160.2,76007.5,613.70847,83810.8,True,12.47,40.5,11,94221,EMACross,-18.5,3,-45.67901234567901,94221,EMACross(FB),-18.5,3,-45.67901234567901,94247.0,StructBreak,-160.09999999999127,29.0,-395.3086419752871
94279,2026-02-04 15:49:00,SELL,75053.3,75936.4,710.48068,0.0,False,0.0,1275.9000000000087,109,94285,TimeExit,-89.89999999999418,6,-7.046006740339647,94285,TimeExit,-89.89999999999418,6,-7.046006740339647,94309.0,TimeExit,-372.0,30.0,-29.155889960028013
94348,2026-02-04 16:58:00,SELL,74339.3,75521.2,818.25659,0.0,False,0.0,1281.300000000003,107,94354,TimeExit,-135.8000000000029,6,-10.598610785920751,94354,TimeExit,-135.8000000000029,6,-10.598610785920751,94378.0,TimeExit,-461.3000000000029,30.0,-36.00249746351377
94413,2026-02-04 18:03:00,SELL,73969.0,74493.5,946.63984,0.0,False,0.0,1781.0,97,94422,TimeExit,-120.60000000000582,9,-6.771476698484324,94422,TimeExit,-120.60000000000582,9,-6.771476698484324,94570.0,TimeExit,-23.0,157.0,-1.291409320606401
94474,2026-02-04 19:04:00,BUY,73530.6,73058.0,1041.38119,83810.8,True,9.87,600.0,98,94477,EMACross,-340.20000000001164,3,-56.700000000001936,94477,EMACross(FB),-340.20000000001164,3,-56.700000000001936,94480.0,StructBreak,-711.2000000000116,6.0,-118.53333333333526
94541,2026-02-04 20:11:00,BUY,73167.8,72256.2,1152.45037,83810.8,True,9.24,973.8999999999942,113,94547,TimeExit,-415.5,6,-42.663517814970994,94547,TimeExit,-415.5,6,-42.663517814970994,94612.0,TimeExit,-46.60000000000582,71.0,-4.7848855118601605
94613,2026-02-04 21:23:00,SELL,73160.8,73917.7,1129.35032,0.0,False,0.0,136.40000000000873,9,94621,TimeExit,-13.80000000000291,8,-10.117302052787409,94621,TimeExit,-13.80000000000291,8,-10.117302052787409,94643.0,TimeExit,-700.1999999999971,30.0,-513.3431085043638
94675,2026-02-04 22:25:00,SELL,73673.3,74074.8,1075.99694,0.0,False,0.0,1807.699999999997,102,94699,EMACross,23.0,24,1.2723350113403793,94699,EMACross(NoSR),23.0,24,1.2723350113403793,,DataEnd,,,
94736,2026-02-04 23:26:00,SELL,73140.2,73567.0,1125.61068,0.0,False,0.0,1274.5999999999913,41,94742,TimeExit,-71.0,6,-5.570375019614035,94742,TimeExit,-71.0,6,-5.570375019614035,94792.0,TimeExit,-85.40000000000873,56.0,-6.700141220775876
94797,2026-02-05 00:27:00,BUY,73505.8,71865.6,1216.68926,83810.8,True,8.47,168.5,1,94803,TimeExit,-271.3000000000029,6,-161.00890207715307,94803,TimeExit,-271.3000000000029,6,-161.00890207715307,94827.0,TimeExit,-1019.5,30.0,-605.0445103857567
94858,2026-02-05 01:28:00,BUY,73336.2,72508.3,1195.62402,83810.8,True,8.76,170.3000000000029,11,94865,TimeExit,-105.09999999999127,7,-61.71462125659981,94865,TimeExit,-105.09999999999127,7,-61.71462125659981,94888.0,TimeExit,-191.59999999999127,30.0,-112.50733998824897
94922,2026-02-05 02:32:00,BUY,73002.5,72734.6,1112.70082,83810.8,True,9.71,317.6000000000058,39,94925,EMACross,20.89999999999418,3,6.5806045340030845,94925,EMACross(FB),20.89999999999418,3,6.5806045340030845,94952.0,TimeExit,-59.0,30.0,-18.576826196473213
94983,2026-02-05 03:33:00,SELL,72847.4,73270.4,1145.51404,0.0,False,0.0,1582.5999999999913,103,94989,TimeExit,-7.5,6,-0.4739037027676003,94989,TimeExit,-7.5,6,-0.4739037027676003,,DataEnd,,,
95045,2026-02-05 04:35:00,BUY,72745.0,71667.3,1198.89884,83810.8,True,9.23,89.69999999999709,1,95051,TimeExit,-233.0,6,-259.754738015616,95051,TimeExit,-233.0,6,-259.754738015616,95065.0,StructBreak,-1079.6000000000058,20.0,-1203.5674470457534
95116,2026-02-05 05:46:00,SELL,71443.2,71678.8,1136.55233,0.0,False,0.0,1317.199999999997,98,95153,EMACross,268.6999999999971,37,20.399331916185673,95153,EMACross(NoSR),268.6999999999971,37,20.399331916185673,95312.0,TimeExit,-56.40000000000873,196.0,-4.2818098997881
95178,2026-02-05 06:48:00,BUY,71315.5,70854.0,1083.41202,83810.8,True,11.53,12.0,3,95184,TimeExit,-341.8000000000029,6,-2848.3333333333576,95184,TimeExit,-341.8000000000029,6,-2848.3333333333576,95186.0,StructBreak,-535.6000000000058,8.0,-4463.333333333381
95239,2026-02-05 07:49:00,BUY,70645.8,70317.45,1074.46375,83810.8,True,12.25,973.0,73,95246,TimeExit,-24.40000000000873,7,-2.507708119219808,95246,TimeExit,-24.40000000000873,7,-2.507708119219808,95269.0,TimeExit,-148.5,30.0,-15.26207605344296
95300,2026-02-05 08:50:00,BUY,70789.0,70510.5,1004.71525,83810.8,True,12.96,829.8000000000029,12,95350,EMACross,359.8000000000029,50,43.359845745963085,95350,EMACross(FB),359.8000000000029,50,43.359845745963085,95366.0,TimeExit,-34.80000000000291,66.0,-4.193781634129041
95361,2026-02-05 09:51:00,SELL,70949.2,71376.5,1004.25988,0.0,False,0.0,331.6999999999971,6,95377,TimeExit,-9.0,16,-2.7132951462164843,95377,TimeExit,-9.0,16,-2.7132951462164843,95391.0,TimeExit,-200.0,30.0,-60.29544769369966
95422,2026-02-05 10:52:00,SELL,71078.9,71483.6,986.91856,0.0,False,0.0,307.75,120,95428,TimeExit,-83.10000000000582,6,-27.00243704305632,95428,TimeExit,-83.10000000000582,6,-27.00243704305632,95438.0,StructBreak,-617.6000000000058,16.0,-200.68237205524153
95483,2026-02-05 11:53:00,SELL,71687.3,71671.5,980.42276,0.0,False,0.0,1781.5,98,95485,EMACross,42.0,2,2.357563850687623,95485,EMACross(NoSR),42.0,2,2.357563850687623,95514.0,StructBreak,14.30000000000291,31.0,0.8026943586866635
95544,2026-02-05 12:54:00,SELL,70769.4,71641.2,994.51972,0.0,False,0.0,1619.2999999999884,91,95550,TimeExit,-77.60000000000582,6,-4.792194157969886,95550,TimeExit,-77.60000000000582,6,-4.792194157969886,,DataEnd,,,
95605,2026-02-05 13:55:00,BUY,70384.8,70052.6,1014.22376,83810.8,True,13.24,204.89999999999418,8,95618,TimeExit,-147.90000000000873,13,-72.18155197658025,95618,TimeExit,-147.90000000000873,13,-72.18155197658025,95621.0,StructBreak,-349.6000000000058,16.0,-170.61981454368754
95676,2026-02-05 15:06:00,BUY,69745.9,69190.8,1005.56185,83810.8,True,13.99,1116.7000000000116,93,95682,TimeExit,-71.09999999999127,6,-6.366974120174669,95682,TimeExit,-71.09999999999127,6,-6.366974120174669,95706.0,TimeExit,-158.59999999999127,30.0,-14.20256111757765
95737,2026-02-05 16:07:00,BUY,69975.7,69369.4,1083.38027,83810.8,True,12.77,886.9000000000087,32,95743,TimeExit,-139.59999999999127,6,-15.740218739428332,95743,TimeExit,-139.59999999999127,6,-15.740218739428332,95784.0,TimeExit,-50.0,47.0,-5.637614161686718
