entry_idx,entry_dt,dir,entry_price,impulse_start,h1_atr,sr_target,sr_found,sr_dist_atr,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,sr_exit_idx,sr_reason,sr_pnl,sr_bars,sr_efficiency,sro_exit_idx,sro_reason,sro_pnl,sro_bars,sro_efficiency
16748,2025-09-17 06:55:00,SELL,3681.22,3682.54,7.11327,3674.61,True,0.93,539.9999999999636,106,16756,TimeExit,-94.00000000000546,8,-17.407407407409593,16756,TimeExit,-94.00000000000546,8,-17.407407407409593,16778.0,TimeExit,-40.000000000009095,30.0,-7.4074074074095915
16816,2025-09-17 08:03:00,BUY,3683.73,3680.42,6.92303,0.0,False,0.0,213.0000000000109,6,16825,TimeExit,-76.99999999999818,9,-36.150234741781325,16825,TimeExit,-76.99999999999818,9,-36.150234741781325,16836.0,StructBreak,-344.9999999999818,20.0,-161.97183098589863
16882,2025-09-17 09:09:00,SELL,3676.7,3680.03,7.2733,3658.3950000000004,True,2.52,1231.999999999971,114,16890,TimeExit,-40.000000000009095,8,-3.2467532467540616,16890,TimeExit,-40.000000000009095,8,-3.2467532467540616,17281.0,TimeExit,-44.00000000000546,399.0,-3.5714285714290988
16943,2025-09-17 10:10:00,BUY,3674.24,3670.3,7.73552,0.0,False,0.0,23.00000000000182,1,16949,StructBreak,-423.9999999999782,6,-1843.4782608693245,16949,StructBreak,-423.9999999999782,6,-1843.4782608693245,16949.0,StructBreak,-423.9999999999782,6.0,-1843.4782608693245
17004,2025-09-17 11:11:00,SELL,3665.58,3669.12,7.42812,3658.3950000000004,True,0.97,306.9999999999709,31,17012,TimeExit,-49.00000000002365,8,-15.96091205212648,17012,TimeExit,-49.00000000002365,8,-15.96091205212648,17039.0,TimeExit,-28.00000000002001,35.0,-9.12052117264582
17067,2025-09-17 12:14:00,BUY,3668.32,3663.65,7.38704,3674.61,True,0.85,265.99999999998545,8,17085,TimeExit,-3.999999999996362,18,-1.5037593984949553,17085,TimeExit,-3.999999999996362,18,-1.5037593984949553,17097.0,TimeExit,-26.99999999999818,30.0,-10.150375939849496
17128,2025-09-17 13:15:00,SELL,3667.38,3669.79,7.65277,3658.3950000000004,True,1.17,736.9999999999891,45,17160,EMACross,117.00000000000728,32,15.875169606514111,17160,EMACross(FB),117.00000000000728,32,15.875169606514111,17196.0,TimeExit,-48.00000000000182,68.0,-6.512890094979991
17192,2025-09-17 14:19:00,BUY,3663.81,3660.01,7.95373,3674.61,True,1.36,1565.000000000009,101,17229,EMACross,151.99999999999818,37,9.712460063897591,17229,EMACross(FB),151.99999999999818,37,9.712460063897591,17275.0,SR_TP,1080.0000000000182,83.0,69.0095846645375
17253,2025-09-17 15:20:00,BUY,3670.58,3665.61,8.72657,0.0,False,0.0,1455.9999999999945,117,17262,TimeExit,-9.000000000014552,9,-0.6181318681328699,17262,TimeExit,-9.000000000014552,9,-0.6181318681328699,17630.0,TimeExit,-230.99999999999454,377.0,-15.8653846153843
17314,2025-09-17 16:21:00,SELL,3675.2,3679.25,8.86836,3658.3950000000004,True,1.89,121.99999999997999,7,17322,TimeExit,-143.0000000000291,8,-117.21311475414144,17322,TimeExit,-143.0000000000291,8,-117.21311475414144,17327.0,StructBreak,-498.0000000000018,13.0,-408.19672131154385
17375,2025-09-17 17:22:00,BUY,3681.93,3678.22,8.92324,0.0,False,0.0,608.0000000000382,120,17408,EMACross,66.00000000003092,33,10.85526315789914,17408,EMACross(NoSR),66.00000000003092,33,10.85526315789914,17552.0,TimeExit,-6.999999999970896,177.0,-1.151315789468825
17436,2025-09-17 18:23:00,BUY,3685.99,3683.36,8.31214,0.0,False,0.0,247.00000000002547,64,17444,TimeExit,-31.999999999970896,8,-12.955465587031414,17444,TimeExit,-31.999999999970896,8,-12.955465587031414,17466.0,TimeExit,-218.99999999995998,30.0,-88.6639676113107
17497,2025-09-17 19:24:00,BUY,3688.04,3685.29,7.79853,0.0,False,0.0,1946.0000000000036,105,17505,TimeExit,-34.999999999990905,8,-1.7985611510786659,17505,TimeExit,-34.999999999990905,8,-1.7985611510786659,17526.0,StructBreak,-303.99999999999636,29.0,-15.621788283658573
17558,2025-09-17 20:25:00,SELL,3679.44,3683.94,7.95606,3674.61,True,0.61,3340.9999999999854,87,17565,StructBreak,-452.99999999997453,7,-13.558814726129198,17565,StructBreak,-452.99999999997453,7,-13.558814726129198,17565.0,StructBreak,-452.99999999997453,7.0,-13.558814726129198
17620,2025-09-17 21:27:00,SELL,3682.32,3707.5,15.09125,3674.61,True,0.51,3628.9999999999964,25,17663,EMACross,2378.9999999999964,43,65.55524937999445,17625,SR_TP,771.0000000000036,5,21.24552218241952,17625.0,SR_TP,771.0000000000036,5.0,21.24552218241952
17681,2025-09-17 22:28:00,BUY,3665.69,3648.2,15.84708,3674.61,True,0.56,-1.0000000000218279,1,17689,TimeExit,-74.00000000002365,8,,17689,TimeExit,-74.00000000002365,8,,17711.0,TimeExit,-588.0000000000109,30.0,
17766,2025-09-17 23:53:00,SELL,3658.44,3660.19,14.45014,3645.135,True,0.92,369.00000000000546,13,17770,EMACross,-113.99999999998727,4,-30.894308943085523,17770,EMACross(FB),-113.99999999998727,4,-30.894308943085523,17772.0,StructBreak,-263.0000000000109,6.0,-71.27371273712927
17836,2025-09-18 02:04:00,BUY,3664.4,3662.0,13.40326,3674.61,True,0.76,756.9999999999709,23,17893,EMACross,240.0000000000091,57,31.704095112287757,17893,EMACross(FB),240.0000000000091,57,31.704095112287757,17901.0,TimeExit,-57.00000000001637,65.0,-7.52972258917022
17897,2025-09-18 03:05:00,SELL,3666.73,3670.61,13.19749,3658.3950000000004,True,0.63,1490.000000000009,93,17945,EMACross,346.00000000000364,48,23.221476510067216,17931,SR_TP,833.4999999999582,34,55.93959731543309,17931.0,SR_TP,833.4999999999582,34.0,55.93959731543309
