Date,Direction,RangeHigh,RangeLow,RangeWidth,H1_ATR,EntryTime,EntryPrice,SL,SL_Distance,ExitTime,ExitPrice,ExitReason,PnL_price,PnL_pips,HoldBars_M15,MFE,MAE,Breakeven,Spread,RejectStage
2025-11-07,LONG,4003.27,3974.63,28.64,12.26,2025-11-07 08:45:00,4006.77,3973.01,33.76,2025-11-07 13:00:00,4003.05,SL_Hit,-3.72,-372,17,7.38,4.17,,17,
2025-11-10,,4053.34,3997.95,55.39,13.54,,,,,,,,,,,,,,,RANGE_TOO_WIDE
2025-11-11,,4148.19,4114.19,34.00,11.78,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-11-12,SHORT,4145.52,4111.76,33.76,12.40,2025-11-12 07:00:00,4107.80,4147.43,39.63,2025-11-12 08:15:00,4114.16,SL_Hit,-6.36,-636,5,8.96,8.24,,16,
2025-11-13,LONG,4213.13,4179.87,33.26,17.13,2025-11-13 07:00:00,4217.50,4177.17,40.33,2025-11-13 11:30:00,4225.22,SL_Hit,+7.72,+772,18,21.97,14.27,Y,16,
2025-11-14,SHORT,4211.27,4170.08,41.19,18.36,2025-11-14 09:15:00,4163.26,4214.02,50.76,2025-11-14 16:45:00,4073.17,SL_Hit,+90.09,+9009,30,131.19,23.75,Y,18,
2025-11-17,SHORT,4106.63,4069.82,36.81,21.32,2025-11-17 07:15:00,4064.38,4109.25,44.87,2025-11-17 08:30:00,4071.15,SL_Hit,-6.77,-677,5,14.69,7.76,,19,
2025-11-18,SHORT,4055.07,4008.34,46.73,21.14,2025-11-18 09:15:00,4002.35,4057.73,55.38,2025-11-18 10:00:00,4025.93,SL_Hit,-23.58,-2358,3,4.47,24.48,,16,
2025-11-19,,4080.62,4055.42,25.20,17.17,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-11-20,,4110.13,4041.38,68.75,20.49,,,,,,,,,,,,,,,NO_BREAKOUT
2025-11-21,,4088.64,4049.31,39.33,18.83,,,,,,,,,,,,,,,EXCEED_TOO_FAR
2025-11-24,LONG,4077.64,4040.69,36.95,19.89,2025-11-24 14:30:00,4079.00,4038.73,40.27,2025-11-24 16:30:00,4070.70,SL_Hit,-8.30,-830,8,6.80,10.80,,17,
2025-11-25,,4155.93,4122.54,33.39,15.80,,,,,,,,,,,,,,,EMA50_CONTRA
2025-11-26,LONG,4169.28,4129.85,39.43,14.75,2025-11-26 13:30:00,4171.18,4128.08,43.10,2025-11-26 14:15:00,4162.60,SL_Hit,-8.58,-858,3,2.21,11.68,,17,
2025-11-27,,4168.52,4144.39,24.13,11.69,,,,,,,,,,,,,,,NO_BREAKOUT
2025-11-28,LONG,4193.21,4157.54,35.67,9.33,2025-11-28 16:15:00,4196.56,4155.27,41.29,2025-11-28 17:00:00,4187.32,SL_Hit,-9.24,-924,3,12.23,10.76,,16,
