<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.13	03:26:00	153.257	153.291	153.254	153.289	104	0	8
2026.02.13	03:27:00	153.288	153.310	153.288	153.295	129	0	8
2026.02.13	03:28:00	153.296	153.338	153.286	153.337	179	0	8
2026.02.13	03:29:00	153.338	153.340	153.305	153.325	122	0	10
2026.02.13	03:30:00	153.324	153.336	153.305	153.319	175	0	10
2026.02.13	03:31:00	153.320	153.340	153.284	153.285	120	0	11
2026.02.13	03:32:00	153.289	153.319	153.277	153.277	88	0	8
2026.02.13	03:33:00	153.277	153.281	153.256	153.263	89	0	8
2026.02.13	03:34:00	153.262	153.262	153.242	153.253	73	0	8
2026.02.13	03:35:00	153.254	153.297	153.253	153.280	101	0	8
2026.02.13	03:36:00	153.280	153.280	153.237	153.243	112	0	11
2026.02.13	03:37:00	153.244	153.272	153.242	153.268	76	0	8
2026.02.13	03:38:00	153.269	153.273	153.244	153.248	97	0	11
2026.02.13	03:39:00	153.248	153.249	153.209	153.213	83	0	8
2026.02.13	03:40:00	153.214	153.246	153.212	153.246	110	0	8
2026.02.13	03:41:00	153.243	153.243	153.212	153.223	74	0	12
2026.02.13	03:42:00	153.223	153.245	153.220	153.243	83	0	11
2026.02.13	03:43:00	153.242	153.272	153.242	153.259	69	0	10
2026.02.13	03:44:00	153.259	153.307	153.259	153.305	108	0	8
2026.02.13	03:45:00	153.304	153.314	153.255	153.256	115	0	8
2026.02.13	03:46:00	153.257	153.268	153.237	153.243	90	0	12
2026.02.13	03:47:00	153.243	153.255	153.239	153.244	62	0	8
2026.02.13	03:48:00	153.242	153.242	153.214	153.221	93	0	8
2026.02.13	03:49:00	153.220	153.243	153.214	153.242	78	0	10
2026.02.13	03:50:00	153.241	153.242	153.220	153.231	63	0	12
2026.02.13	03:51:00	153.231	153.256	153.228	153.256	74	0	8
2026.02.13	03:52:00	153.255	153.272	153.255	153.267	84	0	12
2026.02.13	03:53:00	153.268	153.281	153.252	153.256	82	0	12
2026.02.13	03:54:00	153.256	153.292	153.255	153.292	122	0	11
2026.02.13	03:55:00	153.293	153.311	153.272	153.310	90	0	8
2026.02.13	03:56:00	153.311	153.335	153.297	153.299	164	0	8
2026.02.13	03:57:00	153.300	153.306	153.294	153.306	86	0	10
2026.02.13	03:58:00	153.305	153.327	153.297	153.303	90	0	11
2026.02.13	03:59:00	153.303	153.306	153.252	153.261	120	0	12
2026.02.13	04:00:00	153.259	153.286	153.255	153.280	101	0	8
2026.02.13	04:01:00	153.281	153.305	153.279	153.298	123	0	8
2026.02.13	04:02:00	153.299	153.305	153.255	153.255	68	0	11
2026.02.13	04:03:00	153.254	153.254	153.213	153.220	151	0	8
2026.02.13	04:04:00	153.221	153.257	153.219	153.231	103	0	8
2026.02.13	04:05:00	153.233	153.262	153.231	153.251	88	0	8
2026.02.13	04:06:00	153.251	153.272	153.249	153.264	85	0	11
2026.02.13	04:07:00	153.265	153.287	153.264	153.282	113	0	12
2026.02.13	04:08:00	153.280	153.289	153.269	153.271	63	0	11
2026.02.13	04:09:00	153.270	153.271	153.257	153.258	49	0	11
2026.02.13	04:10:00	153.258	153.262	153.243	153.260	71	0	11
2026.02.13	04:11:00	153.259	153.260	153.232	153.232	62	0	12
2026.02.13	04:12:00	153.231	153.234	153.222	153.225	39	0	10
2026.02.13	04:13:00	153.238	153.254	153.238	153.253	63	0	8
2026.02.13	04:14:00	153.254	153.255	153.245	153.249	50	0	10
2026.02.13	04:15:00	153.250	153.250	153.176	153.200	133	0	10
2026.02.13	04:16:00	153.201	153.201	153.158	153.173	129	0	8
2026.02.13	04:17:00	153.172	153.202	153.171	153.201	88	0	11
2026.02.13	04:18:00	153.200	153.233	153.199	153.233	71	0	8
2026.02.13	04:19:00	153.232	153.247	153.230	153.236	65	0	8
2026.02.13	04:20:00	153.235	153.237	153.199	153.210	44	0	8
2026.02.13	04:21:00	153.208	153.219	153.189	153.190	63	0	8
2026.02.13	04:22:00	153.189	153.189	153.164	153.165	48	0	8
2026.02.13	04:23:00	153.164	153.164	153.127	153.131	61	0	8
2026.02.13	04:24:00	153.129	153.131	153.106	153.115	89	0	10
2026.02.13	04:25:00	153.115	153.124	153.104	153.108	94	0	8
2026.02.13	04:26:00	153.108	153.127	153.108	153.120	75	0	8
2026.02.13	04:27:00	153.123	153.133	153.120	153.129	54	0	11
2026.02.13	04:28:00	153.129	153.152	153.078	153.094	112	0	10
2026.02.13	04:29:00	153.094	153.099	153.061	153.064	66	0	8
2026.02.13	04:30:00	153.061	153.069	153.054	153.054	83	0	11
2026.02.13	04:31:00	153.057	153.065	153.043	153.045	80	0	12
2026.02.13	04:32:00	153.044	153.080	153.043	153.080	60	0	8
2026.02.13	04:33:00	153.083	153.097	153.063	153.097	93	0	8
2026.02.13	04:34:00	153.096	153.113	153.090	153.106	84	0	11
2026.02.13	04:35:00	153.106	153.116	153.102	153.114	63	0	8
2026.02.13	04:36:00	153.114	153.118	153.113	153.116	42	0	12
2026.02.13	04:37:00	153.117	153.122	153.083	153.083	49	0	12
2026.02.13	04:38:00	153.083	153.102	153.081	153.095	44	0	8
2026.02.13	04:39:00	153.097	153.106	153.097	153.104	46	0	11
2026.02.13	04:40:00	153.105	153.116	153.101	153.114	46	0	11
2026.02.13	04:41:00	153.114	153.115	153.079	153.083	94	0	10
2026.02.13	04:42:00	153.084	153.097	153.069	153.074	91	0	8
2026.02.13	04:43:00	153.081	153.084	153.063	153.083	60	0	8
2026.02.13	04:44:00	153.084	153.085	153.059	153.060	55	0	8
2026.02.13	04:45:00	153.059	153.072	153.059	153.065	47	0	10
2026.02.13	04:46:00	153.064	153.087	153.064	153.083	58	0	8
2026.02.13	04:47:00	153.082	153.097	153.074	153.094	64	0	10
