<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.12	02:39:00	5058.77	5060.69	5058.77	5059.88	128	0	16
2026.02.12	02:40:00	5059.79	5059.79	5057.90	5058.14	120	0	21
2026.02.12	02:41:00	5058.12	5058.26	5055.85	5057.11	225	0	19
2026.02.12	02:42:00	5057.27	5057.85	5056.72	5057.07	147	0	20
2026.02.12	02:43:00	5057.08	5059.10	5056.74	5056.97	138	0	20
2026.02.12	02:44:00	5057.01	5059.15	5056.94	5059.13	153	0	18
2026.02.12	02:45:00	5059.14	5062.31	5059.05	5061.01	178	0	19
2026.02.12	02:46:00	5060.84	5061.38	5060.44	5061.05	84	0	23
2026.02.12	02:47:00	5060.94	5061.43	5060.38	5061.20	67	0	21
2026.02.12	02:48:00	5061.28	5061.73	5059.64	5060.72	146	0	20
2026.02.12	02:49:00	5060.69	5062.64	5059.65	5062.60	130	0	18
2026.02.12	02:50:00	5062.57	5064.01	5058.92	5061.08	266	0	19
2026.02.12	02:51:00	5061.09	5063.59	5060.56	5063.43	238	0	17
2026.02.12	02:52:00	5063.40	5065.34	5063.17	5064.31	289	0	20
2026.02.12	02:53:00	5064.26	5065.20	5062.83	5063.31	280	0	21
2026.02.12	02:54:00	5063.35	5063.98	5061.79	5062.86	260	0	19
2026.02.12	02:55:00	5062.89	5063.11	5062.05	5062.25	255	0	22
2026.02.12	02:56:00	5062.24	5062.84	5060.41	5060.41	220	0	18
2026.02.12	02:57:00	5060.45	5061.18	5059.11	5059.59	182	0	19
2026.02.12	02:58:00	5059.56	5061.07	5059.55	5060.92	223	0	21
2026.02.12	02:59:00	5061.02	5065.45	5060.13	5062.93	361	0	18
2026.02.12	03:00:00	5062.99	5062.99	5059.26	5062.95	595	0	16
2026.02.12	03:01:00	5062.96	5062.96	5054.68	5059.63	524	0	18
2026.02.12	03:02:00	5059.54	5059.79	5056.55	5056.78	459	0	21
2026.02.12	03:03:00	5056.77	5058.42	5054.37	5054.37	430	0	20
2026.02.12	03:04:00	5054.25	5054.25	5047.71	5051.54	461	0	20
2026.02.12	03:05:00	5051.51	5055.72	5049.08	5054.36	370	0	20
2026.02.12	03:06:00	5054.35	5056.82	5052.65	5053.37	369	0	18
2026.02.12	03:07:00	5053.40	5054.98	5052.17	5053.88	338	0	19
2026.02.12	03:08:00	5053.89	5053.94	5048.71	5049.63	358	0	20
2026.02.12	03:09:00	5049.70	5054.57	5049.70	5054.05	323	0	23
2026.02.12	03:10:00	5054.04	5055.50	5053.07	5053.80	217	0	22
2026.02.12	03:11:00	5053.78	5054.99	5051.04	5052.09	275	0	20
2026.02.12	03:12:00	5052.08	5052.63	5045.14	5048.18	435	0	16
2026.02.12	03:13:00	5048.20	5052.71	5048.09	5052.71	362	0	21
2026.02.12	03:14:00	5052.77	5053.35	5048.95	5049.37	444	0	20
2026.02.12	03:15:00	5049.38	5051.84	5046.44	5049.47	432	0	21
2026.02.12	03:16:00	5049.54	5057.21	5049.34	5056.72	424	0	20
2026.02.12	03:17:00	5056.70	5059.74	5055.84	5057.56	354	0	20
2026.02.12	03:18:00	5057.55	5057.91	5055.63	5056.52	208	0	19
2026.02.12	03:19:00	5056.51	5058.30	5055.65	5058.24	208	0	22
2026.02.12	03:20:00	5058.29	5060.83	5058.20	5059.73	327	0	20
2026.02.12	03:21:00	5059.76	5059.76	5053.86	5054.45	230	0	21
2026.02.12	03:22:00	5054.43	5054.44	5052.35	5054.43	355	0	22
2026.02.12	03:23:00	5054.42	5054.55	5052.51	5053.76	210	0	21
2026.02.12	03:24:00	5053.73	5054.41	5052.89	5053.62	164	0	21
2026.02.12	03:25:00	5053.60	5055.33	5053.60	5054.51	208	0	23
2026.02.12	03:26:00	5054.53	5055.83	5054.53	5055.80	108	0	21
2026.02.12	03:27:00	5055.83	5057.75	5054.38	5057.65	151	0	20
2026.02.12	03:28:00	5057.66	5061.28	5056.26	5060.46	273	0	23
2026.02.12	03:29:00	5060.45	5060.78	5058.64	5058.71	171	0	23
2026.02.12	03:30:00	5058.70	5058.72	5055.66	5057.95	236	0	18
2026.02.12	03:31:00	5057.96	5059.50	5056.82	5059.31	291	0	22
2026.02.12	03:32:00	5059.32	5061.50	5059.15	5059.32	217	0	20
2026.02.12	03:33:00	5059.31	5060.24	5059.17	5059.39	181	0	21
2026.02.12	03:34:00	5059.47	5060.21	5056.38	5056.79	236	0	21
2026.02.12	03:35:00	5056.82	5057.83	5056.15	5057.10	244	0	21
2026.02.12	03:36:00	5057.08	5060.13	5056.66	5060.13	240	0	19
2026.02.12	03:37:00	5060.05	5062.18	5060.05	5060.99	323	0	22
2026.02.12	03:38:00	5061.02	5063.46	5060.09	5063.08	268	0	22
2026.02.12	03:39:00	5063.11	5063.28	5060.84	5062.23	274	0	19
2026.02.12	03:40:00	5062.26	5062.64	5061.31	5061.90	209	0	18
2026.02.12	03:41:00	5061.91	5062.40	5060.97	5060.97	207	0	22
2026.02.12	03:42:00	5061.09	5061.43	5059.48	5061.43	198	0	19
2026.02.12	03:43:00	5061.42	5064.25	5061.42	5063.77	379	0	18
2026.02.12	03:44:00	5063.76	5063.76	5060.20	5060.88	318	0	20
2026.02.12	03:45:00	5060.91	5062.86	5060.52	5061.13	255	0	20
2026.02.12	03:46:00	5061.11	5061.12	5055.50	5056.18	299	0	19
2026.02.12	03:47:00	5056.17	5056.61	5055.01	5055.67	316	0	21
2026.02.12	03:48:00	5055.68	5056.64	5054.23	5056.40	287	0	19
2026.02.12	03:49:00	5056.39	5059.43	5056.14	5057.14	266	0	19
2026.02.12	03:50:00	5057.11	5057.11	5053.06	5055.24	376	0	20
2026.02.12	03:51:00	5055.23	5058.36	5055.15	5057.04	311	0	18
2026.02.12	03:52:00	5057.06	5060.32	5056.34	5058.18	307	0	18
2026.02.12	03:53:00	5058.24	5059.46	5057.59	5059.32	224	0	17
2026.02.12	03:54:00	5059.20	5060.43	5057.77	5058.63	255	0	18
2026.02.12	03:55:00	5058.62	5062.15	5058.16	5061.71	318	0	18
2026.02.12	03:56:00	5061.70	5061.73	5058.67	5059.97	335	0	20
