<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.03.13	03:25:00	159.145	159.146	159.107	159.107	96	0	8
2026.03.13	03:26:00	159.107	159.107	159.090	159.092	54	0	12
2026.03.13	03:27:00	159.092	159.094	159.074	159.078	73	0	8
2026.03.13	03:28:00	159.080	159.080	159.061	159.067	101	0	10
2026.03.13	03:29:00	159.068	159.087	159.063	159.083	111	0	10
2026.03.13	03:30:00	159.082	159.095	159.075	159.094	94	0	8
2026.03.13	03:31:00	159.093	159.119	159.093	159.111	114	0	8
2026.03.13	03:32:00	159.110	159.123	159.106	159.121	61	0	8
2026.03.13	03:33:00	159.123	159.131	159.111	159.122	92	0	10
2026.03.13	03:34:00	159.121	159.130	159.104	159.107	72	0	10
2026.03.13	03:35:00	159.105	159.136	159.104	159.136	84	0	8
2026.03.13	03:36:00	159.138	159.157	159.131	159.155	81	0	8
2026.03.13	03:37:00	159.153	159.168	159.150	159.168	73	0	8
2026.03.13	03:38:00	159.167	159.173	159.131	159.132	103	0	10
2026.03.13	03:39:00	159.131	159.141	159.127	159.128	83	0	10
2026.03.13	03:40:00	159.127	159.155	159.127	159.155	46	0	8
2026.03.13	03:41:00	159.155	159.169	159.150	159.168	101	0	10
2026.03.13	03:42:00	159.168	159.173	159.165	159.171	73	0	8
2026.03.13	03:43:00	159.172	159.195	159.170	159.188	87	0	8
2026.03.13	03:44:00	159.189	159.194	159.189	159.191	39	0	10
2026.03.13	03:45:00	159.190	159.199	159.178	159.188	62	0	10
2026.03.13	03:46:00	159.187	159.207	159.185	159.204	40	0	8
2026.03.13	03:47:00	159.205	159.220	159.195	159.197	91	0	8
2026.03.13	03:48:00	159.198	159.220	159.198	159.209	135	0	8
2026.03.13	03:49:00	159.210	159.224	159.205	159.223	159	0	8
2026.03.13	03:50:00	159.222	159.234	159.221	159.225	128	0	10
2026.03.13	03:51:00	159.226	159.236	159.225	159.228	79	0	8
2026.03.13	03:52:00	159.228	159.244	159.227	159.237	100	0	8
2026.03.13	03:53:00	159.238	159.249	159.236	159.248	112	0	8
2026.03.13	03:54:00	159.249	159.257	159.246	159.256	112	0	8
2026.03.13	03:55:00	159.256	159.265	159.250	159.261	58	0	8
2026.03.13	03:56:00	159.262	159.262	159.244	159.247	89	0	10
2026.03.13	03:57:00	159.247	159.263	159.247	159.262	59	0	8
2026.03.13	03:58:00	159.264	159.279	159.262	159.262	57	0	10
2026.03.13	03:59:00	159.261	159.268	159.260	159.265	66	0	8
2026.03.13	04:00:00	159.266	159.271	159.252	159.255	97	0	8
2026.03.13	04:01:00	159.255	159.260	159.242	159.251	117	0	10
2026.03.13	04:02:00	159.251	159.259	159.240	159.242	104	0	8
2026.03.13	04:03:00	159.243	159.245	159.230	159.244	83	0	8
2026.03.13	04:04:00	159.245	159.245	159.217	159.219	74	0	10
2026.03.13	04:05:00	159.220	159.231	159.216	159.222	69	0	8
2026.03.13	04:06:00	159.222	159.228	159.212	159.225	96	0	8
2026.03.13	04:07:00	159.226	159.226	159.215	159.220	84	0	11
2026.03.13	04:08:00	159.219	159.224	159.218	159.219	70	0	11
2026.03.13	04:09:00	159.220	159.227	159.214	159.227	92	0	10
2026.03.13	04:10:00	159.229	159.229	159.195	159.197	124	0	8
2026.03.13	04:11:00	159.196	159.201	159.192	159.198	86	0	8
2026.03.13	04:12:00	159.197	159.212	159.196	159.205	83	0	8
